STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-04,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-05,,2.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-06,,2.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-07,,2.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-08,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-09,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-10,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-11,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2024-12,,2.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2025-01,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2025-02,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2025-03,,2.5,,,,,
